I,T(s),P1 Int,1,2,3,4
0,2,1,18200,40100,41400,39400
1,29,11,27500,32200,34600,35600
2,72,21,20800,34200,34500,40700
3,92,31,16900,30200,25600,36500
4,152,41,20000,33500,34000,30200
6,197,61,24600,23300,25600,25200
5,202,51,17000,36500,39100,44100
8,256,81,17000,37100,35200,40300
7,295,71,24100,44500,41300,41800
9,317,91,14700,36100,42300,40200
10,337,101,21900,31800,54600,48300
11,355,111,14300,33600,32000,34700
12,365,121,33800,34400,28700,26800
13,437,131,32900,43200,40800,51700
15,439,151,38400,27700,32300,31300
18,472,181,21900,40900,34200,35800
16,476,161,32200,30900,36400,36100
17,480,171,29300,26400,28500,28800
20,494,201,26000,35800,30600,33800
14,543,141,33900,26200,24400,27700
22,571,221,36300,44700,31700,32200
21,584,211,34100,45900,39300,38500
19,586,191,32700,32200,30300,28200
24,590,241,35900,30700,35700,35200
28,668,281,38900,37000,33000,38200
26,672,261,38300,37800,32400,31500
25,676,251,34100,32100,33900,32200
23,698,231,28100,42100,40900,40400
27,752,271,40200,38400,36200,39800
31,783,311,35100,34800,39500,30500
32,784,321,37400,24400,26000,27200
35,842,351,34900,28000,32200,28100
36,860,361,38000,36700,34500,36700
30,869,301,39600,32500,35100,39400
29,890,291,43100,41700,38500,32200
38,896,381,26100,25000,25900,21500
34,898,341,31300,31600,23900,29200
41,938,411,41600,40800,38100,35900
40,943,401,28000,24700,27600,27100
33,998,331,38200,39100,35000,36900
43,1005,431,37700,37600,32200,32200
52,1010,521,33700,26600,29700,32900
37,1011,371,48400,40300,40300,47500
48,1011,481,35400,27400,31400,33900
39,1018,391,42200,35300,41600,38800
42,1020,421,30900,29400,30800,27300
44,1101,441,46200,45200,36600,40800
62,1104,621,34600,32800,35600,22200
46,1111,461,36900,37200,34700,32200
49,1116,491,36100,28300,26700,34900
47,1134,471,30800,21100,21900,21800
51,1156,511,33300,31300,33300,30800
60,1159,601,36700,31800,29900,35600
53,1189,531,35000,31400,29400,33300
57,1190,571,38800,33300,37400,35400
63,1241,631,37400,30000,27100,24800
45,1245,451,29300,26600,29200,21700
58,1250,581,28700,25400,26000,27200
54,1260,541,38700,32600,37000,36100
70,1261,701,36000,33000,32400,35700
68,1274,681,37800,33700,29700,38200
55,1275,551,37400,33900,36300,35200
50,1278,501,45000,44000,40600,42000
69,1285,691,26800,21500,23800,24900
59,1289,591,41500,28900,30800,29900
65,1302,651,38400,35600,32200,31900
87,1310,871,36500,26500,16400,19900
71,1317,711,41100,38700,29300,40500
80,1326,801,43100,39600,39200,35800
66,1335,661,44800,37800,38900,44700
64,1342,641,46900,38700,46900,42600
56,1343,561,32700,31200,30100,27900
79,1366,791,43500,42000,39300,36900
84,1369,841,41400,38400,34500,41200
61,1378,611,34100,29600,33000,32100
77,1378,771,35200,30900,31500,30900
76,1383,761,51600,46500,49800,48200
89,1384,891,33300,30400,32600,27000
74,1385,741,47000,36600,28000,24100
88,1386,881,29700,18200,21000,29100
72,1388,721,43900,28800,36700,38100
93,1388,931,34700,28600,33000,25400
67,1390,671,36400,35700,25800,29600
85,1391,851,28700,27300,23400,25000
73,1391,731,35500,34600,27400,29000
86,1392,861,35800,35700,20200,31000
75,1394,751,41200,33400,40600,28300
92,1396,921,38600,28400,30700,32400
95,1402,951,32400,25000,23400,27800
83,1405,831,32200,26000,31000,24700
78,1407,781,48300,34800,46800,32300
81,1410,811,34600,31000,28400,25100
98,1414,981,48000,35800,43000,45800
90,1415,901,43800,42300,37900,32200
91,1416,911,40200,26200,32700,39200
82,1421,821,42600,37100,38800,40600
94,1426,941,26900,26800,23600,25500
97,1426,971,42600,39400,34700,36900
99,1433,991,40000,39000,34300,37600
96,1439,961,40400,40200,37700,34500
